iter	Passed	Remaining
0	154	154447
1	155	77708
2	156	52103
3	157	39285
4	158	31588
5	159	26410
6	160	22725
7	160	19959
8	161	17821
9	162	16101
10	163	14690
11	164	13512
12	165	12532
13	166	11693
14	166	10958
15	167	10314
16	168	9745
17	169	9245
18	170	8803
19	171	8424
20	172	8055
21	173	7725
22	174	7420
23	175	7145
24	176	6886
25	177	6652
26	178	6427
27	179	6220
28	180	6033
29	181	5872
30	182	5708
31	183	5549
32	184	5411
33	185	5278
34	186	5147
35	187	5024
36	188	4903
37	189	4787
38	189	4679
39	190	4575
40	191	4474
41	192	4381
42	192	4292
43	193	4209
44	194	4136
45	196	4065
46	196	3993
47	197	3922
48	198	3855
49	199	3788
50	200	3725
51	201	3665
52	201	3607
53	202	3551
54	203	3495
55	204	3443
56	205	3392
57	205	3342
58	206	3294
59	207	3248
60	208	3205
61	209	3169
62	210	3128
63	211	3089
64	212	3051
65	212	3013
66	213	2977
67	214	2941
68	215	2909
69	216	2876
70	217	2842
71	218	2810
72	218	2778
73	219	2748
74	220	2717
75	221	2688
76	221	2661
77	223	2636
78	224	2614
79	225	2591
80	226	2569
81	227	2543
82	227	2515
83	228	2495
84	229	2474
85	230	2452
86	231	2429
87	232	2407
88	233	2385
89	233	2363
90	234	2342
91	235	2321
92	235	2301
93	236	2284
94	237	2267
95	238	2249
96	239	2232
97	240	2215
98	241	2198
99	242	2182
100	243	2165
101	244	2151
102	245	2136
103	246	2120
104	246	2104
105	247	2090
106	248	2075
107	249	2060
108	250	2045
109	251	2033
110	252	2025
111	253	2012
112	254	1999
113	255	1986
114	256	1975
115	257	1966
116	258	1954
117	259	1941
118	260	1928
119	261	1916
120	262	1903
121	262	1890
122	263	1877
123	264	1865
124	264	1853
125	265	1843
126	266	1835
127	268	1825
128	269	1816
129	270	1807
130	270	1796
131	271	1787
132	272	1779
133	273	1770
134	274	1760
135	275	1750
136	276	1740
137	277	1731
138	277	1721
139	278	1712
140	279	1704
141	280	1694
142	281	1689
143	282	1681
144	283	1673
145	284	1665
146	285	1658
147	287	1653
148	288	1645
149	289	1638
150	289	1629
151	290	1621
152	291	1614
153	292	1606
154	293	1598
155	294	1591
156	295	1584
157	296	1580
158	297	1573
159	298	1566
160	298	1557
161	299	1550
162	300	1543
163	301	1536
164	302	1529
165	303	1523
166	303	1516
167	304	1509
168	305	1503
169	306	1496
170	307	1489
171	308	1483
172	309	1478
173	310	1476
174	312	1471
175	313	1466
176	314	1460
177	315	1456
178	316	1453
179	317	1447
